"2023-09-20 19:17:26 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 1312 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:17:26 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:17:26 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:17:26 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:17:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:17:27 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:17:27 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:17:27 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:17:27 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 985 ms
""2023-09-20 19:17:27 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:17:27 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:17:27 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:17:27 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.825 seconds (process running for 2.495)
""2023-09-20 19:17:42 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:18:23 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 13892 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:18:23 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
""2023-09-20 19:18:23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-09-20 19:18:23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-09-20 19:18:24 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-20 19:18:24 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-20 19:18:24 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
""2023-09-20 19:18:24 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-20 19:18:24 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 877 ms
""2023-09-20 19:18:24 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-09-20 19:18:24 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-09-20 19:18:24 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-20 19:18:24 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Started Lab2Application in 1.707 seconds (process running for 3.419)
""2023-09-20 19:18:27 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-20 19:27:13 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - Starting Lab2Application using Java 19.0.2 with PID 24040 (D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2\target\classes started by aleks in D:\studing\5_semestr\internet_programming_technology\labs\lab_2\Lab_2)
""2023-09-20 19:27:13 [restartedMain] INFO  by.kravchenko.lab_2.Lab2Application - No active profile set, falling back to 1 default profile: "default"
